account_bal,duration,payment_status,credit_amount,savings_bond_value,employed_since,intallment_rate,residence_since,age,number_of_existcr,job,number_of_dependents,target
1,24,2,1246,0,1,4,2,23,1,1,1,0
3,12,2,3059,3,3,2,4,61,1,1,1,1
3,24,2,3181,0,1,4,4,26,1,2,1,1
3,24,1,2978,4,2,4,4,32,2,2,2,1
3,9,2,2697,0,2,1,2,32,1,2,2,1
3,24,0,2872,1,4,3,4,36,1,2,2,1
3,15,1,1478,0,2,4,3,33,2,2,1,1
3,15,0,5045,4,4,1,4,59,1,2,1,1
3,24,0,2424,4,4,4,4,53,2,2,1,1
0,24,3,1193,0,0,1,4,29,2,0,1,0
2,30,1,1908,0,4,4,4,66,1,3,1,0
3,12,0,3331,0,4,2,4,42,1,2,1,1
1,6,2,14555,4,0,1,2,23,1,0,1,0
3,42,0,4042,2,2,4,4,36,2,2,1,1
0,18,4,3114,0,1,1,4,26,1,2,1,0
1,36,2,3711,4,2,2,2,27,1,2,1,1
1,18,2,1924,4,1,4,3,27,1,2,1,0
3,24,0,2346,0,3,4,3,35,2,2,1,1
2,12,2,3016,0,2,3,1,24,1,2,1,1
0,10,0,2241,0,1,1,3,48,2,1,2,1
1,30,1,1919,1,1,4,3,30,2,3,1,0
3,7,1,846,4,4,3,4,36,1,2,1,1
3,12,0,2096,0,3,2,3,49,1,1,2,1
3,15,0,1360,0,2,4,2,31,2,2,1,1
3,24,2,2397,2,4,3,2,35,2,2,1,0
0,36,2,3249,0,3,2,4,39,1,3,2,1
0,18,2,2462,0,2,2,2,22,1,2,1,0
3,48,2,10222,4,3,4,3,37,1,2,1,1
1,36,3,3990,4,1,3,2,29,1,0,1,1
3,28,0,2743,0,4,4,2,29,2,2,1,1
1,9,2,1082,0,4,4,4,27,2,1,1,1
3,24,0,1940,3,4,4,4,60,1,2,1,1
3,9,2,3832,4,4,1,4,64,1,1,1,1
1,9,2,959,0,2,1,2,29,1,2,1,0
0,24,3,2483,2,2,4,4,22,1,2,1,1
3,9,2,2301,1,1,2,4,22,1,2,1,1
1,9,2,1670,0,1,4,2,22,1,2,1,0
3,15,1,3594,0,1,1,2,46,2,1,1,1
3,6,2,1766,0,2,1,2,21,1,2,1,1
3,24,2,3621,1,4,2,4,31,2,2,1,0
3,48,3,3609,0,2,1,1,27,1,2,1,1
1,18,1,2427,4,4,4,2,42,2,2,1,1
1,18,2,4439,0,4,1,1,33,1,3,1,1
3,15,0,1316,2,2,2,2,47,2,1,1,1
0,12,2,900,4,2,4,2,23,1,2,1,0
3,24,0,2578,3,4,2,2,34,1,2,1,1
3,36,2,7409,4,4,3,2,37,2,2,1,1
3,20,0,3485,4,1,2,4,44,2,2,1,1
0,12,2,1282,0,2,2,4,20,1,2,1,0
1,9,3,1437,1,3,2,3,29,1,2,1,0
3,24,2,7814,0,3,3,3,38,1,3,1,1
3,36,1,4454,0,2,4,4,34,2,2,1,1
0,24,2,1207,0,1,4,4,24,1,2,1,0
0,18,0,2124,0,2,4,4,24,2,2,1,0
1,9,2,2118,0,2,2,2,37,1,1,2,1
2,10,2,3949,0,1,1,1,37,1,1,2,1
3,24,2,1376,2,3,4,1,28,1,2,1,1
3,9,0,2406,0,0,2,3,31,1,3,1,1
3,48,2,3914,4,2,4,2,38,1,2,1,0
1,24,0,2825,4,3,4,3,34,2,2,2,1
1,18,2,3872,0,0,2,4,67,1,2,1,1
3,10,2,2848,1,2,1,2,32,1,2,2,1
3,12,0,2748,0,4,2,4,57,3,1,1,1
1,12,2,766,2,2,4,3,66,1,1,1,0
3,24,2,3105,4,1,4,2,25,2,2,1,1
1,24,1,1965,4,2,4,4,42,2,2,1,1
2,36,2,4210,0,2,4,2,26,1,2,1,0
3,18,2,1533,0,1,4,1,43,1,1,2,0
3,30,0,5771,0,3,4,2,25,2,2,1,1
0,6,0,1957,0,3,1,4,31,1,2,1,1
1,36,1,9857,1,3,1,3,31,2,1,2,1
0,47,2,10722,0,1,1,1,35,1,1,1,1
3,6,2,4611,0,1,1,4,32,1,2,1,0
1,24,2,5084,4,4,2,4,42,1,2,1,1
3,9,2,2507,2,4,2,4,51,1,1,1,1
0,24,2,1755,0,4,4,4,58,1,1,1,1
1,20,2,6468,4,0,1,4,60,1,3,1,1
1,36,2,2323,0,3,4,4,24,1,2,1,1
1,12,2,2028,4,2,4,2,30,1,2,1,1
0,36,1,6887,0,2,4,3,29,1,2,1,0
0,21,2,3763,4,3,2,2,24,1,1,1,1
3,18,2,1568,1,2,3,4,24,1,1,1,1
1,36,1,8086,1,4,2,4,42,4,3,1,0
3,24,2,1474,1,1,4,3,33,1,2,1,1
3,6,2,2108,0,3,2,2,29,1,2,1,1
3,5,2,3448,0,3,1,4,74,1,1,1,1
0,21,2,1835,0,2,3,2,25,2,2,1,0
3,48,0,2751,4,4,4,3,38,2,2,2,1
0,48,4,4605,0,4,3,4,24,2,2,2,0
1,18,2,1113,0,2,4,4,26,1,1,2,1
0,48,0,6331,0,4,4,4,46,2,2,1,0
1,30,0,8386,0,3,2,2,49,1,2,1,0
3,18,2,1453,0,1,3,1,26,1,2,1,1
3,12,0,797,4,4,4,3,33,1,1,2,0
0,10,0,1038,0,3,4,3,49,2,2,1,1
3,6,2,1543,3,2,4,2,33,1,2,1,1
1,48,2,5381,4,0,3,4,40,1,0,1,1
3,6,4,1204,1,2,4,1,35,1,2,1,1
0,21,0,1602,0,4,4,3,30,2,2,1,1
3,14,1,802,0,2,4,2,27,2,1,1,1
0,18,2,2473,0,0,4,1,25,1,0,1,0
1,12,2,1223,0,4,1,1,46,2,2,1,0
3,12,2,776,0,2,4,2,28,1,2,1,1
3,24,2,3062,2,4,4,3,32,1,2,1,1
3,36,4,2613,0,2,4,2,27,2,2,1,1
0,36,0,6229,0,1,4,4,23,2,1,1,0
2,15,2,392,0,1,4,4,23,1,2,1,1
0,24,4,4110,0,4,3,4,23,2,2,2,0
2,15,0,1271,4,2,3,4,39,2,2,1,0
0,24,2,4020,0,2,2,2,27,1,2,1,1
1,60,2,7408,1,1,4,2,24,1,3,1,0
3,21,2,2241,0,4,4,2,50,2,2,1,1
3,15,3,1569,1,4,4,4,34,1,1,2,1
3,12,0,2292,0,0,4,2,42,2,3,1,0
2,36,2,5848,0,2,4,1,24,1,2,1,1
3,27,1,8613,3,2,2,2,27,2,2,1,1
0,24,0,6419,0,4,2,4,44,2,3,2,1
3,15,2,1979,4,4,4,2,35,1,2,1,1
1,18,4,2278,1,1,3,3,28,2,2,1,0
3,18,2,1126,4,1,4,2,21,1,2,1,1
1,12,2,888,0,4,4,4,41,1,1,2,0
3,18,1,1808,0,3,4,1,22,1,2,1,0
0,24,3,3349,2,1,4,4,30,1,2,2,0
3,24,2,3488,1,3,3,4,23,1,2,1,1
0,18,2,3509,0,3,4,1,25,1,2,1,1
0,24,3,3161,0,2,4,2,31,1,2,1,0
1,48,2,15672,0,2,2,2,23,1,2,1,0
0,18,0,1049,0,1,4,4,21,1,2,1,1
1,20,1,7057,4,3,3,4,36,2,3,2,1
3,15,2,3556,4,2,3,2,29,1,2,1,1
2,6,0,1299,0,2,1,1,74,3,0,2,1
1,15,2,2631,1,2,3,2,25,1,1,1,1
0,15,2,2511,0,0,1,4,23,1,2,1,1
1,18,2,6260,0,3,3,3,28,1,1,1,1
3,21,2,1572,3,4,4,4,36,1,1,1,1
1,24,0,11938,0,2,2,3,39,2,3,2,0
3,12,2,1262,0,2,3,2,25,1,2,1,1
1,21,0,2745,3,3,3,2,32,2,2,1,1
1,24,2,3069,1,4,4,4,30,1,2,1,1
3,36,2,3595,0,4,4,2,28,1,2,1,1
0,24,2,2812,4,4,2,4,26,1,2,1,1
1,39,0,4933,0,3,2,2,25,2,2,1,0
3,12,2,804,0,4,4,4,38,1,2,1,1
3,24,2,1311,1,3,4,3,26,1,2,1,1
1,7,2,2415,0,2,3,2,34,1,2,1,1
0,30,2,2406,0,3,4,4,23,1,2,1,0
0,42,2,3965,0,1,4,3,34,1,2,1,0
1,24,0,3878,1,1,4,2,37,1,2,1,1
0,24,0,1382,1,3,4,1,26,2,2,1,1
3,24,0,2223,1,4,4,4,52,2,2,1,1
3,11,0,1154,1,0,4,4,57,3,1,1,1
0,21,1,3414,0,1,2,1,26,2,2,1,0
3,12,0,976,4,4,4,4,35,2,2,1,1
2,6,2,2116,0,2,2,2,41,1,2,1,1
1,12,1,585,0,2,4,4,20,2,2,1,1
3,24,0,5804,3,2,4,2,27,2,2,1,1
0,24,3,1546,0,3,4,4,24,1,1,1,0
1,18,1,6204,0,2,2,4,44,1,1,2,1
2,12,2,1297,0,2,3,4,23,1,2,1,1
1,15,2,1444,4,1,4,1,23,1,2,1,1
0,24,2,2910,0,3,2,1,34,1,3,1,1
3,6,2,1238,4,0,4,4,36,1,3,2,1
3,48,2,4844,0,0,3,2,33,1,3,1,0
0,6,0,860,0,4,1,4,39,2,2,1,1
0,18,2,1345,0,2,4,3,26,1,2,1,0
0,12,2,2578,0,0,3,4,55,1,3,1,1
3,24,1,717,4,4,4,4,54,2,2,1,1
1,48,0,5096,0,2,2,3,30,1,3,1,0
3,18,1,2320,0,0,2,3,34,2,2,1,1
3,12,2,1076,0,2,2,2,26,1,2,1,1
0,15,4,950,0,4,4,3,33,2,2,2,0
3,10,2,1597,2,2,3,2,40,1,1,2,1
0,18,2,3190,0,2,2,2,24,1,2,1,0
0,6,2,1352,2,0,1,2,23,1,0,1,1
1,36,1,7432,0,2,2,2,54,1,2,1,1
3,15,2,3186,3,3,2,3,20,1,2,1,1
3,6,0,6761,0,3,1,3,45,2,3,2,1
3,36,2,4686,0,2,2,2,32,1,3,1,1
3,39,2,8588,1,4,4,2,45,1,3,1,1
3,12,0,1255,0,4,4,4,61,2,1,1,1
0,48,2,3931,0,3,4,4,46,1,2,2,0
0,12,2,1498,0,2,4,1,23,1,2,1,1
3,12,4,2759,0,4,2,4,34,2,2,1,1
0,42,2,7174,4,3,4,3,30,1,3,1,0
1,6,3,433,3,1,4,2,24,1,2,2,0
0,40,0,5998,0,2,4,3,27,1,2,1,0
1,30,0,4249,0,0,4,2,28,2,3,1,0
1,21,1,2353,0,2,1,4,47,2,2,1,1
3,36,2,2299,2,4,4,4,39,1,2,1,1
2,6,0,1047,0,2,2,4,50,1,1,1,1
1,36,0,2337,0,4,4,4,36,1,2,1,1
3,24,2,9277,4,2,2,4,48,1,2,1,1
3,36,2,10974,0,0,4,2,26,2,3,1,0
1,6,2,753,0,2,2,3,64,1,2,1,1
3,48,0,3578,4,4,4,1,47,1,2,1,1
0,18,2,2039,0,2,1,4,20,1,2,1,0
3,24,0,2684,0,2,4,2,35,2,1,1,1
0,48,2,10297,0,3,4,4,39,3,2,2,0
3,12,2,1393,0,4,4,4,47,3,2,2,1
1,24,1,2064,0,0,3,2,34,1,3,1,0
0,12,2,1620,0,2,2,3,30,1,2,1,1
1,12,2,1534,0,1,1,1,23,1,2,1,0
2,12,2,1330,0,1,4,1,26,1,2,1,1
0,60,1,6836,0,4,3,4,63,2,2,1,0
0,12,2,3386,0,4,3,4,35,1,2,1,0
3,15,2,1300,4,4,4,4,45,1,2,2,1
0,6,0,666,3,3,3,4,39,2,1,1,1
0,36,2,15857,0,0,2,3,43,1,3,1,1
1,24,0,5743,0,1,2,4,24,2,2,1,1
0,36,2,1977,4,4,4,4,40,1,3,1,0
3,12,3,3447,2,2,4,3,35,1,1,2,1
0,12,2,652,0,4,4,4,24,1,2,1,1
1,12,2,1331,0,1,2,1,22,1,2,1,0
0,18,2,4380,1,2,3,4,35,1,1,2,1
3,12,0,1495,0,4,4,1,38,2,1,2,1
3,10,2,1546,0,2,3,2,31,1,1,2,1
2,24,0,1344,4,3,4,2,37,2,1,2,0
3,4,2,601,0,1,1,3,23,1,1,2,1
0,24,2,3149,0,1,4,1,22,1,2,1,1
2,9,2,1126,1,4,2,4,49,1,2,1,1
3,12,0,1934,0,4,2,2,26,2,2,1,1
3,24,2,1469,1,4,4,4,41,1,1,1,1
3,24,2,1901,1,2,4,4,29,1,3,1,1
3,9,0,1244,4,4,4,4,41,2,1,1,1
3,9,2,2753,1,4,3,4,35,1,2,1,1
3,10,0,2069,4,2,2,1,26,2,2,1,1
0,30,2,3857,0,2,4,4,40,1,3,1,1
0,21,2,3357,3,1,4,2,29,1,2,1,1
1,36,2,14318,0,4,4,2,57,1,3,1,0
3,24,2,3430,2,4,3,2,31,1,2,2,1
3,9,0,3074,4,2,1,2,33,2,2,2,1
3,48,0,10127,2,2,2,2,44,1,2,1,0
3,18,2,1820,0,2,2,2,30,1,3,1,1
0,12,2,1289,0,2,4,1,21,1,1,1,1
3,15,2,2708,0,1,2,3,27,2,1,1,1
0,12,3,626,0,2,4,4,24,1,1,1,0
3,60,1,15653,0,3,2,4,21,2,2,1,1
1,24,1,2333,4,1,4,2,29,1,1,1,1
1,24,2,3512,1,3,2,3,38,2,2,1,1
1,30,4,4280,1,2,4,4,26,2,1,1,0
3,48,0,6110,0,2,1,3,31,1,2,1,1
3,24,0,6842,4,2,2,4,46,2,3,2,1
3,24,2,6313,4,4,3,4,41,1,3,2,1
1,48,2,6560,1,3,3,2,24,1,2,1,0
3,12,2,1101,0,2,3,2,27,2,2,1,1
3,21,0,12680,4,4,4,4,30,1,3,1,0
1,36,2,12389,4,2,1,4,37,1,2,1,0
0,36,0,2348,0,2,3,2,46,2,2,1,1
0,15,0,975,0,2,2,3,25,2,2,1,1
3,6,2,1595,0,3,3,2,51,1,2,2,1
2,24,2,1258,2,2,3,3,57,1,1,1,1
1,12,2,1295,0,1,3,1,25,1,2,1,0
3,12,2,763,0,2,4,1,26,1,2,1,1
1,15,2,1308,0,4,4,4,38,2,1,1,1
0,18,2,4153,0,2,2,3,42,1,2,1,0
0,24,2,915,4,4,4,2,29,1,2,1,0
1,24,0,1743,0,4,4,2,48,2,1,1,1
1,15,4,1778,0,1,2,1,26,2,0,1,0
1,36,2,2273,0,3,3,1,32,2,2,2,1
3,7,0,730,4,4,4,2,46,2,1,1,1
0,6,2,662,0,1,3,4,41,1,1,2,1
1,12,2,3017,0,1,3,1,34,1,3,1,1
2,24,2,3749,0,1,2,4,26,1,2,1,1
0,24,3,2828,2,2,4,4,22,1,2,1,1
1,12,2,1092,0,2,4,4,49,2,2,1,1
3,21,4,5003,4,2,1,4,29,2,2,1,0
0,18,2,1131,0,0,4,2,33,1,2,1,0
0,9,2,2136,0,2,3,2,25,1,2,1,1
0,24,2,2384,0,4,4,4,64,1,1,1,1
0,12,4,1108,0,3,4,3,28,2,2,1,0
3,18,0,1149,3,2,4,3,46,2,2,1,1
3,36,2,9055,4,2,2,4,35,1,1,2,1
1,12,0,1804,1,1,3,4,44,1,2,1,1
2,24,0,3617,4,4,4,4,20,2,2,1,1
3,24,0,2058,0,2,4,2,33,2,2,1,1
3,24,2,2670,0,4,4,4,35,1,3,1,1
3,12,0,1185,0,2,3,2,27,2,2,1,1
3,6,2,2978,2,2,1,2,32,1,2,1,1
3,18,0,629,2,4,4,3,32,2,3,1,1
1,24,0,7758,3,4,2,4,29,1,2,1,1
3,60,2,10144,1,3,2,4,21,1,2,1,1
3,18,2,6761,4,2,2,4,68,2,2,1,0
1,24,3,1837,0,3,4,4,34,1,1,1,0
1,15,0,2326,2,2,2,4,27,1,2,1,1
3,12,2,1768,0,2,3,2,24,1,1,1,1
1,36,1,2862,1,4,4,3,30,1,2,1,1
0,24,0,6615,0,0,2,4,75,2,3,1,1
0,12,2,2577,0,2,2,1,42,1,2,1,1
3,12,0,1258,0,1,2,4,22,2,1,1,1
3,15,0,1532,1,2,4,3,31,1,2,1,1
3,12,0,618,0,4,4,4,56,1,2,1,1
3,24,0,4042,4,3,3,4,43,2,2,1,1
3,30,2,2333,2,4,4,2,30,1,3,1,1
3,21,0,2288,0,1,4,4,23,1,2,1,1
0,12,2,741,1,0,4,3,22,1,2,1,0
1,36,2,4795,0,1,4,1,30,1,3,1,1
3,18,0,2404,0,2,2,2,26,2,2,1,1
3,12,2,1386,2,2,2,2,26,1,2,1,0
0,42,2,7882,0,3,2,4,45,1,2,2,1
0,6,2,2647,2,2,2,3,44,1,2,2,1
1,16,0,1175,0,0,2,3,68,3,0,1,1
0,18,2,2600,0,2,4,4,65,2,2,1,0
0,18,2,2389,0,1,4,1,27,1,2,1,1
0,12,2,3590,0,2,2,2,29,1,1,2,1
3,18,0,1055,0,1,4,1,30,2,2,1,1
1,20,4,6148,1,4,3,4,31,2,2,1,1
0,30,2,3622,3,4,4,4,57,2,2,1,1
0,12,2,902,0,3,4,4,21,1,2,1,0
1,10,2,7308,0,0,2,4,70,1,3,1,1
1,11,1,4771,0,3,2,4,51,1,2,1,1
3,60,2,10366,0,4,2,4,42,1,3,1,1
3,6,0,1740,0,4,2,2,30,2,2,1,1
3,24,2,2255,4,1,4,1,54,1,2,1,1
3,15,0,1459,0,2,4,2,43,1,1,1,1
3,27,1,5117,0,3,3,4,26,2,2,1,1
3,12,0,682,1,3,4,3,51,2,2,1,1
0,24,2,2439,0,1,4,4,35,1,2,1,0
0,36,2,5493,0,4,2,4,42,1,2,2,1
1,30,2,2150,0,2,4,2,24,1,2,1,0
3,12,2,1542,0,3,2,4,36,1,2,1,1
1,18,0,6361,0,4,2,1,41,1,2,1,1
3,27,2,5190,4,4,4,4,48,4,2,2,1
1,60,2,6288,0,2,4,4,42,1,2,1,0
0,24,2,1371,4,2,4,4,25,1,2,1,0
0,18,0,3966,0,4,1,4,33,3,2,1,0
1,7,2,2329,0,1,1,1,45,1,2,1,1
3,6,2,518,0,2,3,1,29,1,2,1,1
3,24,0,2463,1,3,4,3,27,2,2,1,1
0,12,2,795,0,1,4,4,53,1,2,1,0
1,12,2,1155,0,4,3,3,40,2,1,1,1
3,15,2,4657,0,2,3,2,30,1,2,1,1
3,18,2,2515,0,2,3,4,43,1,2,1,1
3,24,1,4151,1,2,2,3,35,2,2,1,1
3,12,2,1884,0,4,4,4,39,1,3,1,1
3,12,0,522,2,4,4,4,42,2,2,2,1
3,22,2,2675,2,4,3,4,40,1,2,1,1
3,12,0,701,0,2,4,2,32,2,2,1,1
3,33,0,7253,0,3,3,2,35,2,3,1,1
3,24,2,5511,1,2,4,1,25,1,2,1,1
1,6,2,454,0,1,3,1,22,1,1,1,1
2,9,4,1337,0,1,4,2,34,2,3,1,0
1,30,4,4221,0,2,2,1,28,2,2,1,1
3,15,0,3368,3,4,3,4,23,2,2,1,1
3,60,2,6527,4,2,4,4,34,1,2,2,1
0,18,1,8471,4,2,1,2,23,2,2,1,1
0,15,2,806,0,2,4,4,22,1,1,1,1
2,18,2,1961,0,4,3,2,23,1,3,1,1
3,6,2,660,2,3,2,4,23,1,1,1,1
1,27,0,2520,2,2,4,2,23,2,1,1,0
0,12,0,2246,0,4,3,3,60,2,2,1,0
3,18,0,1582,3,4,4,4,46,2,2,1,1
3,6,0,1237,1,2,1,1,27,2,2,1,1
3,24,2,2603,3,2,2,4,28,1,2,1,1
1,8,2,1237,0,2,3,4,24,1,2,1,0
0,48,0,6143,0,4,4,4,58,2,1,1,0
0,6,0,3676,0,2,1,3,37,3,2,2,1
1,8,2,760,0,3,4,2,44,1,1,1,1
3,12,2,719,0,4,4,4,41,1,1,2,0
0,36,2,8335,4,4,3,4,47,1,2,1,0
1,15,0,2728,4,3,4,2,35,3,2,1,1
2,24,2,1925,0,2,2,2,26,1,2,1,1
3,12,0,1935,0,4,4,4,43,3,2,1,1
0,6,0,1872,0,0,4,4,36,3,3,1,1
3,10,2,894,4,3,4,3,40,1,2,1,1
3,12,2,2073,1,2,4,2,28,1,2,1,1
0,24,3,1358,4,4,4,3,40,1,3,1,0
0,24,2,1987,0,2,2,4,21,1,1,2,0
3,15,2,3029,0,3,2,2,33,1,2,1,1
0,30,0,6187,1,3,1,4,24,2,2,1,1
3,24,1,2375,2,2,4,2,44,2,2,2,1
3,6,2,1236,2,2,2,4,50,1,2,1,1
3,30,1,4272,1,2,2,2,26,2,1,1,1
3,10,2,1364,0,2,2,4,64,1,2,1,1
2,24,2,5152,0,3,4,2,25,1,2,1,1
1,48,4,12204,4,2,2,2,48,1,3,1,1
1,60,2,14027,0,3,4,2,27,1,3,1,0
1,12,2,1484,4,2,2,1,25,1,2,1,0
0,36,2,5179,0,3,4,2,29,1,2,1,0
0,12,0,691,0,4,4,3,35,2,2,1,0
3,15,2,2221,2,2,2,4,20,1,2,1,1
2,18,2,2864,0,2,2,1,34,1,1,2,0
3,15,2,3568,0,4,4,2,54,1,3,1,1
3,18,0,1817,0,2,4,2,28,2,2,1,1
0,24,2,2303,0,4,4,1,45,1,2,1,0
3,24,0,4526,0,2,3,2,74,1,3,1,1
1,45,0,4576,1,0,3,4,27,1,2,1,1
1,48,1,6681,4,2,4,4,38,1,2,2,1
3,9,2,1236,0,1,1,4,23,1,2,1,1
2,10,0,1347,4,3,4,2,27,2,2,1,1
3,24,2,1552,0,3,3,1,32,1,2,2,1
0,36,2,3446,0,4,4,2,42,1,2,2,0
1,36,1,2225,0,4,4,4,57,2,2,1,0
3,6,0,2080,2,2,1,2,24,1,2,1,1
1,24,2,3758,2,0,1,4,23,1,0,1,1
2,18,2,2100,0,2,4,2,37,1,2,1,0
0,8,0,731,0,4,4,4,47,2,1,1,1
1,9,0,1154,0,4,2,4,37,3,1,1,1
3,24,1,2032,0,4,4,4,60,2,2,1,1
1,36,0,5800,0,2,3,4,34,2,2,1,1
3,42,2,7166,4,3,2,4,29,1,2,1,1
1,48,2,9960,0,1,1,2,26,1,2,1,0
1,30,3,3496,3,2,4,2,34,1,2,2,1
0,15,2,1721,0,1,2,3,36,1,2,1,1
